ST,ORI,GRP,DIV,YEAR,MSA,CD1,CD2,CD3,ADJD,OFF,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M24,F3,F4,F5,F6,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F24,AW,AB,AI,AO1,AH,AN
Alabama,AL00108,6,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",210,0,0,0,0,2,2,1,0,1,0,5,10,14,11,13,7,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,72,11,0,0,0,0
Alabama,AL00108,6,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",220,0,0,1,0,2,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,8,5,0,0,0,0
Alabama,AL00108,6,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",230,0,0,0,0,1,0,0,5,6,4,7,20,32,39,33,29,37,0,0,0,0,0,0,0,0,1,2,0,1,6,1,7,3,5,0,0,199,40,0,0,0,0
Alabama,AL00108,6,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",240,0,1,2,0,3,1,1,1,2,1,3,3,8,3,4,6,3,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,34,14,0,0,0,0
Alabama,AL00108,6,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",260,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
Alabama,AL00108,6,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",270,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",040,0,0,1,1,0,1,1,1,0,1,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,16,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",050,7,0,2,2,0,1,1,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",060,4,3,5,2,1,4,1,0,1,1,0,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,14,17,0,0,0,0
Alabama,AL00110,5,East South Central,1960,101,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",070,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0
